LoanID,CustomerID,Loan_Amount,Loan_Term_Months,Interest_Rate,EMI,Loan_Purpose,Application_Channel,Age,Gender,Marital_Status,Number_of_Dependents,Education_Level,Employment_Status,Job_Type,Years_Employed,Income_Type,Annual_Income,Monthly_Income,Income_Stability_Score,Credit_Score,Credit_Utilization_Ratio,Number_of_Previous_Loans,Previous_Defaults,Delinquencies,Number_of_Active_Loans,Avg_Days_Past_Due,EMI_to_Income_Ratio,Loan_to_Income_Ratio,Debt_to_Income_Ratio,High_Risk_Flag,Low_Income_Flag,High_Loan_Flag,Default_Status,avg_monthly_spending,spending_to_income_ratio,balance_volatility,rent_payment_ratio,behavioral_risk_score,loan_bin,dti_bin,behavior_bin,customer_segment
11,113155,1188327.65,240,11.08,12330.54,Business,Mobile App,48,Female,Married,4,Bachelors,Employed,Manufacturing,20,Salary,1405883.65,116008.51,100,629,0.27,1,1,1,1,85,0.106,0.845,0.137,1,0,0,0,46936.49714285714,0.4045918058171019,529681.9851291281,0.7083333333333334,0.209876896829342,Very High,"(0.013999999999999999, 0.152]",Low,Low Risk
12,93074,234251.32,12,10.39,20636.93,Car,Online,21,Female,Married,2,High School,Unemployed,Unemployed,0,No Income,194250.23,15688.61,36,658,0.31,1,0,0,0,0,1.315,1.206,1.331,1,1,1,0,6980.602499999999,0.444918802953037,71447.14594235571,0.75,0.21051501715738513,Low,"(0.35, 2.5]",Low,Financial Stress
13,80781,514339.34,84,8.88,8243.96,Personal,Mobile App,43,Male,Married,1,Bachelors,Employed,Services,16,Salary,1256215.12,105176.59,81,716,0.37,1,0,0,1,0,0.078,0.409,0.116,0,0,0,0,29613.32545454545,0.2815554668494063,572263.7209684531,0.875,0.3363887759482968,Medium,"(0.013999999999999999, 0.152]",Medium,Low Risk
14,31856,400485.7,36,11.18,13145.55,Education,Branch,27,Male,Married,1,Bachelors,Self-Employed,Manufacturing,3,Freelance,1111774.58,88566.52,63,657,0.27,2,0,0,2,0,0.148,0.36,0.207,0,0,0,0,31714.007142857143,0.358077172566841,405618.7854471376,0.75,0.19385659958644136,Medium,"(0.152, 0.229]",Low,Low Risk
15,81536,629146.24,84,7.78,9737.19,Home,Agent,61,Male,Married,1,Bachelors,Employed,IT,25,Salary,1937174.37,154064.15,100,729,0.32,1,0,0,0,0,0.063,0.325,0.079,0,0,0,0,7864.308461538461,0.0510453432300456,1080975.6575379125,0.0,0.7620292316447557,High,"(0.013999999999999999, 0.152]",High,Behavioral Risk
16,146817,343598.49,84,7.78,5317.82,Business,Agent,43,Female,Single,1,High School,Employed,IT,20,Salary,1037125.52,87269.59,95,733,0.61,1,0,0,0,0,0.061,0.331,0.091,0,0,0,0,34920.03904761905,0.4001352465661004,392478.1198286415,0.875,0.16573826979766348,Medium,"(0.013999999999999999, 0.152]",Low,Low Risk
17,68912,103792.02,24,12.11,4891.18,Personal,Agent,34,Male,Married,0,High School,Self-Employed,Education,8,Business,297989.47,25062.61,80,611,0.52,0,0,1,2,0,0.195,0.348,0.381,0,1,0,0,1030.8922222222222,0.0411310350832231,176588.6869604791,0.0,0.7657279557852625,Low,"(0.35, 2.5]",High,Behavioral Risk
18,166388,125788.87,60,9.29,2628.91,Personal,Agent,31,Male,Married,2,Bachelors,Unemployed,Unemployed,0,No Income,192419.34,15980.42,51,716,0.34,0,0,0,1,0,0.165,0.654,0.307,0,1,0,0,555.2133333333334,0.0347411765245724,111459.54615772449,0.0,0.7489120225375122,Low,"(0.229, 0.35]",High,Low Risk
19,82081,38430.64,72,12.43,759.95,Personal,Mobile App,38,Male,Married,4,Bachelors,Unemployed,Unemployed,0,No Income,177232.31,15060.28,53,615,0.4,2,0,0,2,0,0.05,0.217,0.336,0,1,0,0,3985.4025,0.2646124698564797,76660.54409981343,0.75,0.2786055468967597,Low,"(0.229, 0.35]",Medium,Low Risk
20,57721,1427991.01,12,10.5,125875.41,Education,Agent,57,Male,Married,0,Masters,Self-Employed,Finance,28,Business,2179859.17,181108.75,100,667,0.33,3,0,0,2,0,0.695,0.655,0.734,1,0,0,1,54123.77571428572,0.2988451793141214,919085.197649556,0.8333333333333334,0.2699269756301939,Very High,"(0.35, 2.5]",Medium,Financial Stress
21,49994,2068618.71,120,10.44,27843.45,Home,Online,56,Male,Divorced,0,Bachelors,Employed,Education,19,Salary,1995464.07,163166.69,100,622,0.63,3,0,0,1,0,0.171,1.037,0.214,0,0,1,0,7350.745000000001,0.0450502486123325,1117670.430469672,0.0,0.7250358638042647,Very High,"(0.152, 0.229]",High,Low Risk
22,8506,558135.14,60,9.39,11691.9,Business,Branch,34,Male,Married,2,High School,Employed,Services,13,Salary,908139.43,74755.03,77,738,0.41,3,0,0,1,0,0.156,0.615,0.204,0,0,0,0,22629.56375,0.30271221933535,371765.9988178476,0.9166666666666666,0.23506530860648953,High,"(0.152, 0.229]",Low,Low Risk
23,15048,1003009.27,24,7.31,45048.4,Personal,Mobile App,40,Male,Married,2,High School,Employed,Manufacturing,16,Salary,1411547.39,118352.23,90,758,0.41,0,0,0,2,0,0.381,0.711,0.435,0,0,0,0,31919.448695652176,0.2696964729703801,612543.0890465118,0.9166666666666666,0.269748835518052,Very High,"(0.35, 2.5]",Medium,Low Risk
24,46272,375228.34,24,10.27,17361.68,Business,Branch,43,Female,Married,2,High School,Self-Employed,Construction,2,Business,669830.06,56846.84,55,697,0.23,3,1,0,0,25,0.305,0.56,0.317,1,0,0,0,19756.70695652174,0.3475366338724873,275114.57345385,0.8333333333333334,0.23227343335325773,Medium,"(0.229, 0.35]",Low,Low Risk
25,16377,563002.03,12,5.62,48357.3,Personal,Mobile App,57,Female,Married,2,Masters,Employed,Services,12,Salary,1037266.46,87984.94,100,782,0.24,2,0,0,1,0,0.55,0.543,0.584,0,0,0,0,26642.58869565217,0.3028050697151405,444091.23070608656,0.8333333333333334,0.26509476387028114,High,"(0.35, 2.5]",Medium,Low Risk
26,90151,319029.27,60,10.26,6819.31,Home,Mobile App,46,Female,Married,0,Bachelors,Employed,Manufacturing,23,Salary,606887.83,48598.28,100,623,0.26,0,0,1,1,0,0.14,0.526,0.194,0,0,0,0,13586.819,0.2795683187076022,264193.2549806064,0.75,0.3561593515906456,Medium,"(0.152, 0.229]",Medium,Low Risk
27,154329,679004.82,48,8.43,16713.89,Home,Mobile App,58,Female,Single,0,Bachelors,Employed,Construction,36,Salary,1295440.81,102852.07,100,715,0.3,2,0,1,2,0,0.163,0.524,0.216,0,0,0,1,5374.709,0.052256184477527,714139.4658236037,0.0,0.7467814849729778,High,"(0.152, 0.229]",High,Low Risk
28,98921,704208.52,240,11.18,7355.22,Home,Online,18,Female,Single,0,Bachelors,Employed,Manufacturing,0,Salary,1185276.44,99352.37,49,648,0.58,2,0,0,1,0,0.074,0.594,0.123,0,0,0,0,26578.811818181817,0.267517969628829,510742.73436729953,0.875,0.2688624089522388,High,"(0.013999999999999999, 0.152]",Medium,Low Risk
29,43530,372919.06,84,8.75,5952.72,Education,Mobile App,31,Female,Married,4,High School,Employed,Education,7,Salary,650124.34,54941.98,92,679,0.52,2,0,0,1,0,0.108,0.574,0.171,0,0,0,0,2393.626153846154,0.0435656412128747,388091.12068478647,0.0,0.770162794998018,Medium,"(0.152, 0.229]",High,Behavioral Risk
30,126029,654492.42,240,14.13,8200.62,Home,Branch,29,Female,Single,0,Bachelors,Employed,Retail,2,Salary,1078617.29,86130.54,71,467,0.92,0,0,3,2,0,0.095,0.607,0.188,1,0,0,0,26336.51636363636,0.3057708751479001,432321.4692672094,0.7916666666666666,0.26699237940837595,High,"(0.152, 0.229]",Medium,Credit Risk
31,167632,2219375.48,24,8.19,100568.77,Personal,Online,34,Male,Married,3,Bachelors,Employed,IT,9,Salary,1761085.41,147072.9,88,665,0.33,1,0,0,2,0,0.684,1.26,0.727,1,0,1,1,7289.913636363636,0.0495663311869994,1008723.0070234594,0.0,0.7280609209316813,Very High,"(0.35, 2.5]",High,Financial Stress
32,103091,535364.36,60,13.0,12181.18,Car,Branch,36,Male,Divorced,0,Bachelors,Employed,Retail,7,Salary,393588.33,33164.0,86,576,0.4,3,1,0,2,49,0.367,1.36,0.508,1,0,1,0,9986.800909090907,0.3011247070432959,164194.73813807915,0.9166666666666666,0.22992943949272776,High,"(0.35, 2.5]",Low,Credit Risk
33,146254,1087487.72,36,9.37,34769.39,Medical,Agent,36,Male,Married,3,Masters,Self-Employed,Healthcare,6,Business,782125.57,62167.23,73,680,0.32,4,0,0,4,0,0.559,1.39,0.704,1,0,1,1,3902.3408333333336,0.0627706600836686,442069.3203635992,0.0,0.7851492697287442,Very High,"(0.35, 2.5]",High,Behavioral Risk
34,96493,353041.55,48,9.34,8842.56,Business,Online,18,Female,Single,0,High School,Employed,Education,0,Salary,450131.66,38152.28,75,686,0.16,3,0,0,2,0,0.232,0.784,0.345,0,0,0,1,15972.77842105263,0.4186475820965492,163296.1782766752,0.6666666666666666,0.15969695045584706,Medium,"(0.229, 0.35]",Low,Low Risk
35,136777,4700163.19,72,5.84,77540.78,Business,Online,36,Male,Married,1,PhD,Self-Employed,Education,9,Business,4178175.16,350000.0,61,795,0.1,2,0,0,1,0,0.222,1.125,0.232,0,0,1,0,11886.476666666667,0.0339612648725765,2425617.324129182,0.0,0.739341982384043,Very High,"(0.229, 0.35]",High,Low Risk
36,120768,738614.91,24,10.62,34295.08,Personal,Agent,39,Male,Single,1,High School,Employed,Education,3,Salary,1269958.99,105062.97,66,657,0.57,3,0,0,1,0,0.326,0.582,0.374,0,0,0,0,5296.280000000001,0.0504100501818082,728870.528738038,0.0,0.7450533547825343,High,"(0.35, 2.5]",High,Low Risk
37,34792,755189.56,120,5.38,8150.96,Home,Online,45,Male,Divorced,0,Masters,Self-Employed,Finance,19,Business,1402468.44,112031.52,100,810,0.07,2,0,0,1,0,0.073,0.538,0.094,0,0,0,0,5597.9114285714295,0.0499668438108098,763704.3141459383,0.0,0.7192612297642993,High,"(0.013999999999999999, 0.152]",High,Low Risk
38,148186,214026.17,84,9.7,3520.0,Medical,Online,30,Female,Married,1,High School,Self-Employed,Healthcare,4,Freelance,420562.65,35442.93,52,689,0.3,0,0,0,1,0,0.099,0.509,0.171,0,0,0,0,11385.826190476191,0.3212348684380144,182099.77468046392,0.7916666666666666,0.29615028528130133,Low,"(0.152, 0.229]",Medium,Low Risk
39,165171,735099.48,60,11.12,16026.87,Home,Branch,44,Male,Married,3,Bachelors,Employed,IT,10,Salary,918969.94,76221.58,89,584,0.53,1,0,0,2,0,0.21,0.8,0.289,0,0,0,1,5126.7875,0.0672607447819268,551121.5859823159,0.0,0.8117583151228734,High,"(0.229, 0.35]",High,Behavioral Risk
40,140283,333635.65,36,11.55,11009.91,Personal,Mobile App,36,Female,Single,2,Bachelors,Self-Employed,Finance,6,Freelance,624828.7,51904.9,57,617,0.36,3,0,2,2,0,0.212,0.534,0.307,0,0,0,0,3278.090909090909,0.0631544951362159,364463.3573022872,0.0,0.7662442860568806,Medium,"(0.229, 0.35]",High,Behavioral Risk
41,100931,471950.65,60,8.42,9664.6,Home,Mobile App,21,Female,Widowed,0,Masters,Employed,Manufacturing,0,Salary,695959.3,58248.31,81,701,0.3,3,0,0,3,0,0.166,0.678,0.284,0,0,0,0,23202.6875,0.3983341176058566,276459.0633466042,0.75,0.23957065350222093,Medium,"(0.229, 0.35]",Low,Low Risk
42,94085,402433.02,72,7.14,6888.17,Medical,Online,18,Female,Single,0,High School,Employed,Healthcare,0,Salary,481027.6,40853.31,67,802,0.31,0,0,0,1,0,0.169,0.837,0.233,0,0,0,0,1773.0800000000002,0.0434000721098949,284939.77727275074,0.0,0.7511701473035797,Medium,"(0.229, 0.35]",High,Behavioral Risk
43,99305,742487.36,84,8.89,11904.53,Business,Online,38,Female,Married,1,High School,Employed,Construction,7,Salary,1623556.96,134146.46,80,696,0.16,3,0,0,1,0,0.089,0.457,0.112,0,0,0,0,7076.631666666667,0.0527526325632007,928509.2942138106,0.0,0.7422787824517604,High,"(0.013999999999999999, 0.152]",High,Low Risk
44,40791,322641.13,72,11.21,6175.94,Medical,Mobile App,36,Male,Single,0,High School,Employed,Manufacturing,2,Salary,882311.04,73871.24,67,600,0.4,0,0,1,3,0,0.084,0.366,0.185,0,0,0,0,3179.5366666666664,0.0430410214536159,491415.6312062281,0.0,0.682446303966543,Medium,"(0.152, 0.229]",High,Low Risk
45,86268,911417.17,48,11.02,23564.91,Car,Online,24,Female,Married,2,High School,Self-Employed,Education,1,Business,912040.16,74794.14,58,622,0.51,0,0,1,0,0,0.315,0.999,0.341,0,0,0,0,22594.90142857143,0.3020905025188993,376679.81707765954,0.75,0.27673551878878905,Very High,"(0.229, 0.35]",Medium,Low Risk
46,161859,130090.7,240,6.53,972.22,Education,Online,34,Female,Married,2,High School,Employed,Retail,0,Salary,677957.85,56813.01,65,776,0.22,2,0,0,0,0,0.017,0.192,0.028,0,0,0,0,2198.211111111111,0.03869135642971,407772.4702610137,0.0,0.7931499851474357,Low,"(0.013999999999999999, 0.152]",High,Behavioral Risk
47,179888,403353.88,36,8.19,12675.03,Business,Branch,19,Female,Single,0,Bachelors,Employed,Construction,0,Salary,1265257.64,107515.5,66,760,0.13,1,1,0,3,26,0.118,0.319,0.18,1,0,0,1,4060.036666666667,0.0377619869198371,671834.1546027398,0.0,0.5951572502459305,Medium,"(0.152, 0.229]",Medium,Low Risk
48,90834,1458219.31,48,8.75,36114.99,Car,Online,28,Male,Married,0,Bachelors,Employed,Manufacturing,6,Salary,1491715.84,123547.91,70,765,0.27,3,1,0,0,58,0.292,0.978,0.306,1,0,0,0,5016.6525,0.0406045872845013,862812.6391540138,0.0,0.752380275633159,Very High,"(0.229, 0.35]",High,Behavioral Risk
49,156851,331066.21,36,5.15,9944.66,Personal,Agent,51,Male,Widowed,1,Bachelors,Employed,IT,13,Salary,628794.48,50560.69,95,796,0.42,1,0,0,0,0,0.197,0.527,0.218,0,0,0,0,15517.428,0.3069008967065776,254617.60965362412,0.8333333333333334,0.2636890075109344,Medium,"(0.152, 0.229]",Medium,Low Risk
50,29855,679054.21,120,5.85,7487.84,Education,Mobile App,27,Female,Married,1,Masters,Employed,Manufacturing,4,Salary,529227.98,43280.19,77,823,0.35,0,0,0,2,0,0.173,1.283,0.283,0,0,1,0,14873.45608695652,0.3436471152238772,212118.5495596912,0.8333333333333334,0.24436517881691727,High,"(0.229, 0.35]",Low,High Exposure
51,20094,724642.03,120,6.23,8128.96,Medical,Online,48,Male,Married,1,High School,Employed,Education,6,Salary,1105778.66,93008.98,56,836,0.08,0,0,0,1,0,0.087,0.655,0.113,0,0,0,0,26808.889523809525,0.2882366980813191,524893.1671165422,0.75,0.40250785791740523,High,"(0.013999999999999999, 0.152]",Medium,Low Risk
52,56587,188841.43,24,8.56,8589.1,Home,Online,40,Female,Married,2,High School,Unemployed,Unemployed,0,No Income,224522.32,17927.59,41,714,0.38,1,0,0,1,0,0.479,0.841,0.61,1,1,0,0,6026.325000000001,0.3361293330931211,83781.54799840461,0.875,0.18682150831535368,Low,"(0.35, 2.5]",Low,Low Risk
53,36140,1053967.72,36,5.33,31744.75,Personal,Mobile App,31,Male,Married,1,Bachelors,Employed,Finance,1,Salary,1032252.14,82646.65,54,802,0.29,2,0,0,0,0,0.384,1.021,0.399,0,0,1,0,4789.085,0.0579458097114679,548596.2758347751,0.0,0.6831748373633092,Very High,"(0.35, 2.5]",High,Low Risk
54,175250,981499.17,360,11.66,9839.7,Home,Mobile App,36,Female,Divorced,0,Bachelors,Employed,Finance,11,Salary,1080895.72,87991.08,86,591,0.3,0,0,0,0,0,0.112,0.908,0.127,0,0,0,0,32397.00952380952,0.3681809717852961,427381.00190706993,0.7916666666666666,0.24838403307437423,Very High,"(0.013999999999999999, 0.152]",Low,Low Risk
55,24630,354195.78,360,7.44,2462.05,Car,Mobile App,33,Female,Single,1,High School,Employed,Healthcare,4,Salary,1016964.68,86250.8,83,712,0.26,1,0,0,1,0,0.029,0.348,0.065,0,0,0,0,21667.293478260868,0.2512097542110526,475452.22647894325,0.875,0.34384859820300917,Medium,"(0.013999999999999999, 0.152]",Medium,Low Risk
56,124303,1186714.2,72,7.97,20789.57,Car,Online,33,Male,Married,2,Masters,Employed,Manufacturing,11,Salary,1869686.14,154723.06,85,720,0.21,1,0,0,0,0,0.134,0.635,0.145,0,0,0,0,8260.040769230769,0.053385625798798,1035562.9889123108,0.0,0.693763028867756,Very High,"(0.013999999999999999, 0.152]",High,Low Risk
57,40396,1394297.07,60,8.62,28686.85,Business,Online,38,Male,Married,0,Bachelors,Self-Employed,Retail,6,Business,1641872.09,137013.79,62,694,0.33,2,0,0,4,0,0.209,0.849,0.284,0,0,0,1,8379.996666666666,0.0611612561437102,895220.7747935369,0.0,0.6618459339079487,Very High,"(0.229, 0.35]",High,Low Risk
58,53208,2226098.96,240,17.81,34030.49,Personal,Mobile App,37,Male,Single,0,PhD,Employed,Manufacturing,10,Salary,1622843.57,132841.65,95,386,0.43,3,1,1,0,38,0.256,1.372,0.278,1,0,1,1,44188.987,0.3326415650395412,688319.900525199,0.75,0.31548653402367344,Very High,"(0.229, 0.35]",Medium,Credit Risk
59,124797,1815898.99,48,12.2,47998.1,Home,Mobile App,30,Male,Single,0,Bachelors,Employed,Education,5,Salary,1777656.95,143126.43,73,560,0.23,0,0,1,0,0,0.335,1.022,0.347,1,0,1,0,8093.726153846154,0.056549091630068,963977.4468341268,0.0,0.7035433781228819,Very High,"(0.229, 0.35]",High,Credit Risk
60,56882,393023.95,36,6.44,12035.06,Business,Branch,42,Male,Single,1,Bachelors,Employed,Finance,21,Salary,315196.69,26787.26,100,807,0.4,2,0,0,0,0,0.449,1.247,0.469,0,0,1,0,12917.198333333334,0.4821962431801593,113043.99937113194,0.7083333333333334,0.1560405826375902,Medium,"(0.35, 2.5]",Low,High Exposure
61,150261,664578.07,24,8.19,30114.69,Business,Mobile App,58,Female,Married,4,High School,Employed,Manufacturing,29,Salary,1821300.27,151519.6,100,743,0.53,2,0,0,0,0,0.199,0.365,0.225,0,0,0,0,5841.444545454546,0.0385521476647699,1035313.9781425304,0.0,0.7197552022571411,High,"(0.152, 0.229]",High,Low Risk
62,21770,1103931.43,24,6.61,49230.91,Personal,Online,36,Female,Married,1,Bachelors,Employed,Construction,3,Salary,564532.69,45797.92,60,763,0.32,0,0,0,2,0,1.075,1.955,1.178,1,0,1,0,2706.103333333333,0.0590866189275496,330605.46517834783,0.0,0.8071580359100416,Very High,"(0.35, 2.5]",High,Behavioral Risk
63,11530,195856.68,24,10.05,9042.31,Personal,Online,26,Male,Divorced,0,High School,Employed,Retail,2,Salary,958690.42,76650.8,70,651,0.52,1,0,0,1,0,0.118,0.204,0.17,0,0,0,0,23246.34523809524,0.3032720071556732,420247.131544456,0.625,0.39339010239874117,Low,"(0.152, 0.229]",Medium,Low Risk
64,141765,149256.11,12,7.54,12951.83,Education,Mobile App,22,Male,Married,3,Masters,Employed,Retail,0,Salary,482932.65,38558.27,64,753,0.22,0,0,0,0,0,0.336,0.309,0.347,0,0,0,0,15378.617391304348,0.3988306156030534,173091.85199565455,0.875,0.16364303434760047,Low,"(0.229, 0.35]",Low,Low Risk
65,12269,157605.71,240,5.0,1040.13,Medical,Agent,27,Female,Married,1,High School,Self-Employed,Manufacturing,6,Freelance,470932.73,40025.25,64,818,0.23,0,0,0,0,0,0.026,0.335,0.037,0,0,0,0,2023.1821428571427,0.0505463825079077,266708.42427636986,0.0,0.6867281166901754,Low,"(0.013999999999999999, 0.152]",High,Low Risk
66,165747,430274.39,60,6.3,8378.56,Home,Mobile App,26,Male,Married,3,Bachelors,Self-Employed,Manufacturing,2,Business,952412.24,75759.15,60,820,0.23,0,0,0,2,0,0.111,0.452,0.175,0,0,0,0,3303.719,0.0436076090134457,520591.66813491663,0.0,0.7292987266987621,Medium,"(0.152, 0.229]",High,Low Risk
67,12871,46736.65,36,7.2,1447.37,Education,Mobile App,40,Male,Married,2,Bachelors,Unemployed,Unemployed,0,No Income,172607.6,13848.91,39,789,0.13,1,0,0,1,0,0.105,0.271,0.255,0,1,0,0,3901.568636363636,0.2817035371611538,66640.85222628078,0.8333333333333334,0.20952117710313922,Low,"(0.229, 0.35]",Low,Low Risk
68,54941,163647.92,12,5.84,14072.56,Home,Agent,49,Female,Single,0,High School,Self-Employed,Manufacturing,24,Business,505244.35,41635.76,100,832,0.31,0,0,0,1,0,0.338,0.324,0.402,0,0,0,0,12220.82,0.2935103499888079,201380.80367716117,0.875,0.21075637556332902,Low,"(0.35, 2.5]",Low,Low Risk
69,15638,380757.93,360,8.09,2817.79,Personal,Agent,33,Female,Married,1,Bachelors,Employed,Construction,8,Salary,1118617.12,93127.29,95,753,0.45,2,0,0,1,0,0.03,0.34,0.074,0,0,0,0,2686.59375,0.0288483096811935,669646.5968280312,0.0,0.7934582856455719,Medium,"(0.013999999999999999, 0.152]",High,Behavioral Risk
70,77654,719951.65,48,7.06,17260.19,Home,Online,31,Female,Married,2,Bachelors,Employed,Retail,8,Salary,1425008.37,119821.17,85,755,0.56,1,0,0,1,0,0.144,0.505,0.189,0,0,0,0,36851.54869565217,0.3075520055733607,593077.2547011051,0.7916666666666666,0.2526112837174973,High,"(0.152, 0.229]",Low,Low Risk
71,86078,867033.66,60,6.95,17147.86,Business,Mobile App,47,Female,Married,1,High School,Employed,Manufacturing,9,Salary,1481626.42,122132.25,78,804,0.09,1,0,0,0,0,0.14,0.585,0.145,0,0,0,0,32294.41782608696,0.2644195403470141,614649.2015839273,0.9166666666666666,0.23796208487300588,High,"(0.013999999999999999, 0.152]",Low,Low Risk
72,60878,181540.42,120,8.57,2257.64,Business,Online,28,Female,Single,0,Bachelors,Unemployed,Unemployed,0,No Income,205818.26,16581.62,45,754,0.39,1,0,0,0,0,0.136,0.882,0.156,0,1,0,0,811.0733333333334,0.0489110486360619,107780.0320193257,0.0,0.6514381494868953,Low,"(0.152, 0.229]",Medium,Low Risk
73,169298,161755.57,360,8.26,1216.35,Business,Mobile App,49,Male,Divorced,1,Bachelors,Unemployed,Unemployed,0,No Income,165772.49,13287.38,57,735,0.29,2,0,0,2,0,0.092,0.976,0.407,0,1,0,0,4924.394090909091,0.3705789637946153,63543.245722437736,0.8333333333333334,0.2258905588071174,Low,"(0.35, 2.5]",Low,Low Risk
74,60572,1171740.74,36,5.0,35118.12,Home,Mobile App,42,Male,Single,0,High School,Employed,Construction,7,Salary,583052.44,48802.38,89,828,0.25,1,0,0,2,0,0.72,2.01,0.814,1,0,1,1,2269.1145454545454,0.0464950285298794,318226.3282515412,0.0,0.6552930074680514,Very High,"(0.35, 2.5]",High,Financial Stress
75,115922,321638.17,24,7.92,14535.09,Business,Branch,35,Female,Single,0,High School,Employed,Education,2,Salary,630051.62,52933.35,59,740,0.42,2,0,0,0,0,0.275,0.51,0.296,0,0,0,0,2558.457692307692,0.0483326553043098,396628.6527891115,0.0,0.8628021986323067,Medium,"(0.229, 0.35]",High,Behavioral Risk
76,176636,206596.54,60,8.59,4247.61,Car,Agent,37,Male,Single,0,Bachelors,Employed,Finance,3,Salary,534763.21,42794.53,65,743,0.32,3,1,0,2,74,0.099,0.386,0.209,1,0,0,1,16440.51318181818,0.3841642615903619,187186.0485215976,0.875,0.13540237118255238,Low,"(0.152, 0.229]",Low,Low Risk
77,101904,321977.11,36,6.4,9853.63,Business,Branch,36,Female,Widowed,0,High School,Employed,IT,10,Salary,398415.23,33136.65,81,777,0.1,1,0,0,0,0,0.297,0.808,0.302,0,0,0,0,9180.93090909091,0.2770543749810535,172031.2533706185,0.875,0.28210534797097075,Medium,"(0.229, 0.35]",Medium,Low Risk
